metric,value
tasks.5.random_retrieval.values,"[0.618, 0.615, 0.6, 0.613, 0.653]"
tasks.5.vanilla_rag.mean,0.842
tasks.5.vanilla_rag.std,0.0
tasks.5.vanilla_rag.ci_lower,0.842
tasks.5.vanilla_rag.ci_upper,0.842
tasks.5.vanilla_rag.values,"[0.842, 0.842, 0.842, 0.842, 0.842]"
methods.hide.mean,0.47540000000000004
methods.hide.std,0.007221080251596703
methods.hide.ci_lower,0.4702
methods.hide.ci_upper,0.48224
methods.no_memory.mean,0.0034000000000000002
methods.no_memory.std,0.0
methods.no_memory.ci_lower,0.0034000000000000002
methods.no_memory.ci_upper,0.0034000000000000002
methods.full_context.mean,0.5344
methods.full_context.std,0.0
methods.full_context.ci_lower,0.5344
methods.full_context.ci_upper,0.5344
methods.random_retrieval.mean,0.41136
methods.random_retrieval.std,0.0042150207591422195
methods.random_retrieval.ci_lower,0.40776
methods.random_retrieval.ci_upper,0.41504
methods.vanilla_rag.mean,0.4166
methods.vanilla_rag.std,0.0
methods.vanilla_rag.ci_lower,0.4166
methods.vanilla_rag.ci_upper,0.4166
validation.hide_beats_no_memory,5
validation.hide_beats_no_memory_pass,True
validation.hide_beats_random,5
validation.hide_beats_random_pass,True
memory_scaling.10.mean,0.04
memory_scaling.10.std,0.03521363372331802
memory_scaling.10.ci_lower,0.01
memory_scaling.10.ci_upper,0.06999999999999999
memory_scaling.50.mean,0.11000000000000001
memory_scaling.50.std,0.045837878562506686
memory_scaling.50.ci_lower,0.07
memory_scaling.50.ci_upper,0.14899999999999997
memory_scaling.100.mean,0.0865
memory_scaling.100.std,0.04665595115071363
memory_scaling.100.ci_lower,0.05000000000000001
memory_scaling.100.ci_upper,0.13016666666666662
memory_scaling.200.mean,0.043033333333333326
memory_scaling.200.std,0.026898864081757963
memory_scaling.200.ci_lower,0.021666666666666664
memory_scaling.200.ci_upper,0.06806666666666665
memory_scaling.500.mean,0.034800000000000005
memory_scaling.500.std,0.011145203253218652
memory_scaling.500.ci_lower,0.026166666666666664
memory_scaling.500.ci_upper,0.04563333333333334
